"trip_id","duration","start_time","end_time","start_station","start_lat","start_lon","end_station","end_lat","end_lon","bike_id","plan_duration","trip_route_category","passholder_type"
223909226,13,"2018-01-01 11:19:00","2018-01-01 11:32:00",3016,39.968922,-75.154701,3016,39.968922,-75.154701,"02597",30,"Round Trip","Indego30"
223916614,110,"2018-01-01 11:29:00","2018-01-01 13:19:00",3169,39.953819,-75.142632,3057,39.964581,-75.180031,"02557",0,"One Way","Walk-up"
223909225,13,"2018-01-01 11:30:00","2018-01-01 11:43:00",3161,39.954861,-75.180908,3102,39.967590,-75.179520,"03547",30,"One Way","Indego30"
223916612,109,"2018-01-01 11:30:00","2018-01-01 13:19:00",3169,39.953819,-75.142632,3057,39.964581,-75.180031,"03586",0,"One Way","Walk-up"
223909224,20,"2018-01-01 11:31:00","2018-01-01 11:51:00",3017,39.980030,-75.143707,3054,39.962502,-75.174202,"05193",30,"One Way","Indego30"
223909223,16,"2018-01-01 11:32:00","2018-01-01 11:48:00",3101,39.942951,-75.159554,3038,39.947811,-75.194092,"03439",30,"One Way","Indego30"
223909222,4,"2018-01-01 11:33:00","2018-01-01 11:37:00",3011,39.959492,-75.196899,3027,39.956940,-75.200691,"03297",30,"One Way","Indego30"
223912909,36,"2018-01-01 11:35:00","2018-01-01 12:11:00",3168,39.951210,-75.173698,3168,39.951210,-75.173698,11006,30,"Round Trip","Indego30"
223912908,20,"2018-01-01 11:42:00","2018-01-01 12:02:00",3049,39.945091,-75.142502,3086,39.940189,-75.166908,"05255",30,"One Way","Indego30"
223909221,12,"2018-01-01 11:46:00","2018-01-01 11:58:00",3030,39.939350,-75.157158,3023,39.950481,-75.172859,"02663",30,"One Way","Indego30"
223909220,5,"2018-01-01 11:47:00","2018-01-01 11:52:00",3052,39.947319,-75.156952,3025,39.937241,-75.161201,"03354",30,"One Way","Indego30"
223909219,5,"2018-01-01 11:50:00","2018-01-01 11:55:00",3072,39.934448,-75.145409,3026,39.941380,-75.145638,11964,365,"One Way","Indego365"
223912904,31,"2018-01-01 11:54:00","2018-01-01 12:25:00",3114,39.937752,-75.180122,3114,39.937752,-75.180122,"02576",30,"Round Trip","Indego30"
223912903,35,"2018-01-01 12:03:00","2018-01-01 12:38:00",3100,39.927769,-75.151031,3063,39.946331,-75.169800,"05151",30,"One Way","Indego30"
