trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
365197027,11,1/1/2021 10:18,1/1/2021 10:29,3045,39.947922,-75.162369,3049,39.945091,-75.142502,11899,30,One Way,Indego30,standard
365197229,13,1/1/2021 10:22,1/1/2021 10:35,3063,39.946331,-75.1698,3163,39.949741,-75.180969,18759,30,One Way,Indego30,electric
365197128,8,1/1/2021 10:22,1/1/2021 10:30,3101,39.942951,-75.159554,3066,39.94561,-75.173477,14688,30,One Way,Indego30,standard
365197127,5,1/1/2021 10:26,1/1/2021 10:31,3064,39.9384,-75.173271,3043,39.93082,-75.174744,17055,30,One Way,Indego30,electric
365197531,23,1/1/2021 10:27,1/1/2021 10:50,3125,39.943909,-75.167351,3000,,,14628,30,One Way,Indego30,standard
365197939,39,1/1/2021 10:30,1/1/2021 11:09,3067,39.964111,-75.19973,3067,39.964111,-75.19973,16665,30,Round Trip,Indego30,electric
365198454,63,1/1/2021 10:31,1/1/2021 11:34,3114,39.937752,-75.180122,3197,39.92083,-75.170326,14586,30,One Way,Indego30,standard
365197327,13,1/1/2021 10:32,1/1/2021 10:45,3211,39.971722,-75.170601,3211,39.971722,-75.170601,14581,30,Round Trip,Indego30,standard
365197937,28,1/1/2021 10:37,1/1/2021 11:05,3166,39.972351,-75.134453,3187,39.957249,-75.172318,19172,30,One Way,Indego30,electric
365198141,36,1/1/2021 10:41,1/1/2021 11:17,3072,39.934448,-75.145409,3197,39.92083,-75.170326,11170,30,One Way,Indego30,standard
365197428,5,1/1/2021 10:45,1/1/2021 10:50,3183,39.889938,-75.176788,3183,39.889938,-75.176788,5411,365,Round Trip,Indego365,standard
365197427,4,1/1/2021 10:45,1/1/2021 10:49,3183,39.889938,-75.176788,3183,39.889938,-75.176788,11900,365,Round Trip,Indego365,standard
365197630,7,1/1/2021 10:51,1/1/2021 10:58,3059,39.96244,-75.161209,3021,39.953899,-75.169022,14620,365,One Way,Indego365,standard
365197629,10,1/1/2021 10:51,1/1/2021 11:01,3043,39.93082,-75.174744,3000,,,11835,30,One Way,Indego30,standard
365198034,14,1/1/2021 10:56,1/1/2021 11:10,3163,39.949741,-75.180969,3063,39.946331,-75.1698,18759,30,One Way,Indego30,electric
365198872,56,1/1/2021 10:56,1/1/2021 11:52,3212,39.963791,-75.18158,3212,39.963791,-75.18158,5184,30,Round Trip,Indego30,standard
365198033,14,1/1/2021 10:57,1/1/2021 11:11,3212,39.963791,-75.18158,3167,39.950249,-75.160278,14614,30,One Way,Indego30,standard
365197627,1,1/1/2021 10:57,1/1/2021 10:58,3182,39.950809,-75.169533,3182,39.950809,-75.169533,6695,30,Round Trip,Indego30,standard
365197828,3,1/1/2021 10:58,1/1/2021 11:01,3051,39.967442,-75.175072,3057,39.96439,-75.179871,3637,30,One Way,Indego30,standard
365199794,95,1/1/2021 10:58,1/1/2021 12:33,3182,39.950809,-75.169533,3000,,,5370,30,One Way,Indego30,standard
